Estacion,Geopoint,stop_id,stop_desc,stop_lat,stop_lon,trip_heads,Estacion
Nopalera,"19.29939771,-99.04621124",14230,Metro 12,19.29939771,-99.04621124,Tláhuac - Mixcoac,Nopalera
Normal,"19.44424548,-99.1671896",14126,Metro 2,19.44424548,-99.1671896,Cuatro Caminos - Tasqueña,Normal
Norte 45,"19.48823803,-99.16249037",14105,Metro 6,19.48823803,-99.16249037,Martín Carrera - El Rosario,Norte 45
Obrera,"19.41301153,-99.14392948",14154,Metro 8,19.41301153,-99.14392948,Garibaldi - Constitución de 1917,Obrera
Observatorio,"19.397486,-99.200669",14055,Metro 1,19.397486,-99.200669,Observatorio - Pantitlán,Observatorio
Oceanía,"19.44542916,-99.08690572",14061,Metro Línea 5 correspondencia con línea B.,19.44542916,-99.08690572,Pantitlán - Politécnico,Oceanía
Olímpica,"19.52084286,-99.03298259",14224,Metro B,19.52084286,-99.03298259,Buenavista - Ciudad Azteca,Olímpica
Olivos,"19.30328601,-99.05831337",14231,Metro 12,19.30328601,-99.05831337,Tláhuac - Mixcoac,Olivos
Panteones,"19.458219,-99.20294",14111,Metro 2,19.458219,-99.20294,Cuatro Caminos - Tasqueña,Panteones
Pantitlán,"19.41528826,-99.07505035",14214,Metro Línea 5 correspondencia con líneas 1 9 y A.,19.41528826,-99.07505035,Pantitlán - Politécnico,Pantitlán
Parque de los Venados,"19.37046623,-99.15766239",14240,Metro 12,19.37046623,-99.15766239,Tláhuac - Mixcoac,Parque de los Venados
Patriotismo,"19.40559422,-99.1784656",14121,Metro 9,19.40559422,-99.1784656,Tacubaya - Pantitlán,Patriotismo
Peñón Viejo,"19.37291562,-99.0172863",14199,Metro A,19.37291562,-99.0172863,La Paz - Pantitlán,Peñón Viejo
Periférico Oriente,"19.317492,-99.074719",14233,Metro 12,19.317492,-99.074719,Tláhuac - Mixcoac,Periférico Oriente
Pino Suárez,"19.42543703,-99.13303971",14137,Metro Línea 2 correspondencia con línea 1.,19.42543703,-99.13303971,Cuatro Caminos - Tasqueña,Pino Suárez
Plaza Aragón,"19.52822456,-99.02979612",14209,Metro B,19.52822456,-99.02979612,Buenavista - Ciudad Azteca,Plaza Aragón
Polanco,"19.43337954,-99.19079304",14114,Metro 7,19.43337954,-99.19079304,Barranca del Muerto - El Rosario,Polanco
Politécnico,"19.499964,-99.148806",14188,Metro 5,19.499964,-99.148806,Pantitlán - Politécnico,Politécnico
Popotla,"19.45261196,-99.17546153",14123,Metro 2,19.45261196,-99.17546153,Cuatro Caminos - Tasqueña,Popotla
Portales,"19.36976784,-99.14130092",14085,Metro 2,19.36976784,-99.14130092,Cuatro Caminos - Tasqueña,Portales
Potrero,"19.476413,-99.131748",14192,Metro 3,19.476413,-99.131748,Indios Verdes - Universidad,Potrero
Puebla,"19.40697045,-99.08233523",14068,Metro 9,19.40697045,-99.08233523,Tacubaya - Pantitlán,Puebla
Refinería,"19.46911098,-99.18985963",14107,Metro 7,19.46911098,-99.18985963,Barranca del Muerto - El Rosario,Refinería
Revolución,"19.43880248,-99.15389657",14050,Metro 2,19.43880248,-99.15389657,Cuatro Caminos - Tasqueña,Revolución
Ricardo Flores Magón,"19.43628327,-99.10342813",14146,Metro B,19.43628327,-99.10342813,Buenavista - Ciudad Azteca,Ricardo Flores Magón
Río de los Remedios,"19.49024062,-99.04635072",14222,Metro B,19.49024062,-99.04635072,Buenavista - Ciudad Azteca,Río de los Remedios
Romero Rubio,"19.44048194,-99.09420133",14073,Metro B,19.44048194,-99.09420133,Buenavista - Ciudad Azteca,Romero Rubio
Salto del Agua,"19.42720768,-99.14207339",14158,Metro Línea 8 correspondencia con línea 1.,19.42720768,-99.14207339,Garibaldi - Constitución de 1917,Salto del Agua
San Andrés Tomatlán,"19.3272315,-99.10259128",14236,Metro 12,19.3272315,-99.10259128,Tláhuac - Mixcoac,San Andrés Tomatlán
San Antonio,"19.38481791,-99.18661952",14084,Metro 7,19.38481791,-99.18661952,Barranca del Muerto - El Rosario,San Antonio
San Antonio Abad,"19.4159055,-99.13429499",14160,Metro 2,19.4159055,-99.13429499,Cuatro Caminos - Tasqueña,San Antonio Abad
San Cosme,"19.44185787,-99.16094542",14098,Metro 2,19.44185787,-99.16094542,Cuatro Caminos - Tasqueña,San Cosme
San Joaquín,"19.44553033,-99.19160843",14113,Metro 7,19.44553033,-99.19160843,Barranca del Muerto - El Rosario,San Joaquín
San Juan Letrán,"19.43098165,-99.14116144",14142,Metro 8,19.43098165,-99.14116144,Garibaldi - Constitución de 1917,San Juan Letrán
San Lázaro,"19.43079953,-99.11457539",14179,Metro Línea 1 correspondencia con línea B.,19.43079953,-99.11457539,Observatorio - Pantitlán,San Lázaro
San Pedro los Pinos,"19.39122414,-99.18572903",14063,Metro 7,19.39122414,-99.18572903,Barranca del Muerto - El Rosario,San Pedro los Pinos
Santa Anita,"19.40397512,-99.12136674",14064,Metro Línea 8 correspondencia con línea 4.,19.40397512,-99.12136674,Garibaldi - Constitución de 1917,Santa Anita
Santa Marta,"19.359804,-98.995894",14205,Metro A,19.359804,-98.995894,La Paz - Pantitlán,Santa Marta
Sevilla,"19.42189565,-99.17074084",14118,Metro 1,19.42189565,-99.17074084,Observatorio - Pantitlán,Sevilla
Tacuba,"19.458383,-99.188501",14108,Metro Línea 7 correspondencia con línea 2.,19.458383,-99.188501,Barranca del Muerto - El Rosario,Tacuba
Tacubaya,"19.40213338,-99.18823957",14054,Metro Línea 1 correspondencia con línea 7 y línea 9.,19.40213338,-99.18823957,Observatorio - Pantitlán,Tacubaya
Talismán,"19.47415847,-99.10779476",14101,Metro 4,19.47415847,-99.10779476,Martín Carrera - Santa Anita,Talismán
Tasqueña,"19.34400644,-99.14105415",14090,Metro 2,19.34400644,-99.14105415,Cuatro Caminos - Tasqueña,Tasqueña
Tecnológico,"19.51470467,-99.03568625",14225,Metro B,19.51470467,-99.03568625,Buenavista - Ciudad Azteca,Tecnológico
